X,Y,Z,U,V,W,MoveTime(ms)
-36.346,1.365,243.063,0.002,0.086,-0.027,1
-36.434,1.18,243.138,0.004,0.093,-0.023,1
-36.517,1.002,243.217,0.008,0.101,-0.021,1
-36.598,0.828,243.283,0.012,0.109,-0.02,1
-36.681,0.648,243.313,0.013,0.12,-0.018,1
-36.763,0.465,243.302,0.013,0.129,-0.013,1
-36.835,0.294,243.254,0.014,0.136,-0.011,1
-36.892,0.143,243.174,0.016,0.139,-0.009,1
-36.938,0.013,243.07,0.02,0.139,-0.005,1
-36.976,-0.099,242.953,0.026,0.138,-0.002,1
-37.003,-0.197,242.822,0.029,0.134,0.001,1
-37.02,-0.288,242.681,0.032,0.131,0.005,1
-37.027,-0.381,242.543,0.034,0.13,0.008,1
-37.021,-0.482,242.429,0.035,0.13,0.007,1
-37,-0.594,242.352,0.036,0.127,0.006,1
-36.961,-0.712,242.304,0.037,0.122,0.007,1
-36.901,-0.839,242.284,0.037,0.117,0.007,1
-36.827,-0.973,242.28,0.038,0.114,0.006,1
-36.742,-1.104,242.278,0.041,0.112,0.004,1
-36.645,-1.235,242.272,0.042,0.108,0.003,1
-36.534,-1.379,242.251,0.042,0.102,0.001,1
-36.405,-1.541,242.207,0.044,0.096,0.004,1
-36.255,-1.714,242.139,0.048,0.089,0.007,1
-36.083,-1.888,242.035,0.053,0.081,0.009,1
-35.885,-2.063,241.896,0.055,0.07,0.012,1
-35.656,-2.245,241.73,0.056,0.058,0.015,1
-35.401,-2.429,241.528,0.058,0.045,0.015,1
-35.123,-2.615,241.291,0.059,0.032,0.013,1
-34.825,-2.803,241.037,0.059,0.019,0.011,1
-34.502,-2.992,240.769,0.059,0.007,0.008,1
-34.155,-3.181,240.484,0.063,-0.007,0.002,1
-33.791,-3.369,240.184,0.068,-0.023,-0.001,1
-33.409,-3.554,239.872,0.071,-0.041,0.002,1
-33.008,-3.744,239.547,0.071,-0.058,0.008,1
-32.587,-3.945,239.205,0.067,-0.075,0.013,1
-32.149,-4.155,238.86,0.061,-0.094,0.014,1
-31.697,-4.374,238.514,0.056,-0.114,0.014,1
-31.237,-4.597,238.176,0.053,-0.136,0.014,1
-30.767,-4.82,237.862,0.051,-0.157,0.013,1
-30.287,-5.039,237.57,0.051,-0.175,0.011,1
-29.796,-5.254,237.289,0.052,-0.191,0.011,1
